Wall time,Step,Value
1495152538.0058706,37000,2.7060508728027344e-05
1495152640.5599337,37200,4.3511390686035156e-05
1495152729.032017,37400,3.8564205169677734e-05
1495152820.8612163,37600,1.9848346710205078e-05
1495152907.574148,37800,2.181529998779297e-05
1495153202.0806515,38000,2.276897430419922e-05
1495153300.2096572,38200,4.482269287109375e-05
1495153385.909749,38400,2.390146255493164e-05
1495153474.3913922,38600,4.881620407104492e-05
1495153560.5918064,38800,2.944469451904297e-05
1495153857.558238,39000,2.1398067474365234e-05
1495153957.7198982,39200,1.7762184143066406e-05
1495154048.9696267,39400,1.3530254364013672e-05
1495154135.6562293,39600,4.273653030395508e-05
1495154223.7708652,39800,2.5987625122070312e-05
1495155228.557171,40000,3.343820571899414e-05
1495155331.6757836,40200,3.081560134887695e-05
1495155424.4897685,40400,1.3709068298339844e-05
1495155509.3387568,40600,1.9252300262451172e-05
1495155602.1498513,40800,1.704692840576172e-05
1495155898.16075,41000,1.7642974853515625e-05
1495155996.5320861,41200,3.55839729309082e-05
1495156088.0243073,41400,2.682209014892578e-05
1495156173.8593333,41600,7.069110870361328e-05
1495156269.630753,41800,4.279613494873047e-05
1495156562.8675666,42000,3.2067298889160156e-05
1495156660.8974583,42200,2.7179718017578125e-05
1495156748.808071,42400,2.4974346160888672e-05
1495156834.71617,42600,3.8623809814453125e-05
1495156921.5045037,42800,5.239248275756836e-05
1495157225.758672,43000,5.4776668548583984e-05
1495157324.5645144,43200,5.811452865600586e-05
1495157422.3869238,43400,2.5570392608642578e-05
1495157508.7292771,43600,2.1755695343017578e-05
1495157602.2000716,43800,3.4689903259277344e-05
1495157896.077645,44000,2.676248550415039e-05
1495157994.0795918,44200,4.3392181396484375e-05
1495158082.1659389,44400,3.790855407714844e-05
1495158176.0329251,44600,2.1338462829589844e-05
1495158262.9414058,44800,2.6166439056396484e-05
1495158558.996649,45000,4.088878631591797e-05
1495158658.1315238,45200,3.039836883544922e-05
1495158755.2497277,45400,3.2901763916015625e-05
1495158841.5068026,45600,3.510713577270508e-05
1495158927.2607229,45800,3.159046173095703e-05
1495159221.2092624,46000,3.4749507904052734e-05
1495159328.9954834,46200,1.6450881958007812e-05
1495159417.1974435,46400,5.0067901611328125e-05
1495159503.932227,46600,6.443262100219727e-05
1495159597.298443,46800,3.4928321838378906e-05
1495159891.7336247,47000,4.303455352783203e-05
1495160000.7775505,47200,2.473592758178711e-05
1495160088.8409746,47400,1.4185905456542969e-05
1495160175.2775133,47600,3.68952751159668e-05
1495160268.166957,47800,5.40614128112793e-05
1495160565.9006972,48000,2.580881118774414e-05
1495160675.437659,48200,2.193450927734375e-05
1495160765.1293988,48400,2.2292137145996094e-05
1495160860.496146,48600,2.0682811737060547e-05
1495160948.2766435,48800,0.0001004934310913086
1495161245.826763,49000,5.179643630981445e-05
1495161355.8742836,49200,7.283687591552734e-05
1495161445.3217385,49400,1.996755599975586e-05
1495161533.2803936,49600,2.390146255493164e-05
1495161628.8244495,49800,2.5451183319091797e-05
1495162636.9859486,50000,1.9073486328125e-05
1495162751.744012,50200,1.9550323486328125e-05
1495162843.0589025,50400,2.104043960571289e-05
1495162941.6303754,50600,2.6404857635498047e-05
1495163031.4469593,50800,4.285573959350586e-05
1495163328.4136856,51000,2.4974346160888672e-05
1495163431.281234,51200,2.8252601623535156e-05
1495163519.7782774,51400,5.40614128112793e-05
1495163606.865619,51600,4.9173831939697266e-05
1495163700.7368746,51800,3.325939178466797e-05
1495163997.4921243,52000,3.784894943237305e-05
1495164106.3922117,52200,4.082918167114258e-05
1495164194.6384692,52400,4.607439041137695e-05
1495164288.6228318,52600,4.2378902435302734e-05
1495164377.338717,52800,3.0994415283203125e-05
1495164676.8193202,53000,3.9458274841308594e-05
1495164776.444608,53200,2.7894973754882812e-05
1495164863.9470391,53400,5.6862831115722656e-05
1495164953.6584744,53600,4.476308822631836e-05
1495165042.518811,53800,4.404783248901367e-05
1495165343.9166353,54000,1.8775463104248047e-05
1495165447.1622007,54200,3.9577484130859375e-05
1495165540.5102994,54400,1.1622905731201172e-05
1495165631.0829132,54600,4.690885543823242e-05
1495165721.4210663,54800,1.7464160919189453e-05
1495166016.5751495,55000,4.6372413635253906e-05
1495166120.461323,55200,1.633167266845703e-05
1495166209.2777655,55400,3.886222839355469e-05
1495166304.3114557,55600,5.739927291870117e-05
1495166393.154598,55800,1.7821788787841797e-05
1495166695.5114193,56000,3.6716461181640625e-05
1495166802.6981695,56200,2.2709369659423828e-05
1495166902.269311,56400,1.6987323760986328e-05
1495166989.7043624,56600,2.6345252990722656e-05
1495167082.1848454,56800,1.7940998077392578e-05
1495167378.528346,57000,6.467103958129883e-05
1495167481.02921,57200,2.7298927307128906e-05
1495167571.4539475,57400,2.6941299438476562e-05
1495167659.4993222,57600,4.1484832763671875e-05
1495167755.087639,57800,2.6941299438476562e-05
1495168050.59353,58000,2.9146671295166016e-05
1495168152.2767143,58200,3.701448440551758e-05
1495168240.1070256,58400,5.2928924560546875e-05
1495168329.499964,58600,1.2993812561035156e-05
1495168418.0899217,58800,2.658367156982422e-05
1495168714.8176992,59000,3.0517578125e-05
1495168822.1225023,59200,3.987550735473633e-05
1495168911.9891407,59400,3.170967102050781e-05
1495169002.60587,59600,1.8596649169921875e-05
1495169093.9136505,59800,3.1054019927978516e-05
1495170101.5979192,60000,2.7894973754882812e-05
1495170211.1923854,60200,5.3882598876953125e-05
1495170301.0734951,60400,4.094839096069336e-05
1495170395.9475906,60600,4.6193599700927734e-05
